scan,town,country_or_region,water_body,type,score,flag,vibe_note,suggested_media_search
Eastern Europe,Batumi,Georgia,Black Sea,sea,8.9,,Long flat Black Sea promenade for run/swim; Batumi Boulevard 7km path; pebble-to-sand entries; road cycling into Adjara hills; sea 24-26C Aug,Batumi Georgia beach aerial drone 4k
Eastern Europe,Parnu,Estonia,Parnu Bay (Baltic),sea,8.6,,Warmest Baltic swim 20-23C in shallow bay; flat fast roads (Ironman Tallinn region 90min); sandy beach; spa-town run paths; wetsuit optional Aug,Parnu Estonia beach aerial drone 4k
Eastern Europe,Split,Croatia,Adriatic,sea,8.5,,Adriatic 24-27C; open-water swim off Bacvice/Kasjuni; brutal climbing on Marjan and inland Mosor; strong tri/triathlon scene; DNV foreign income untaxed,Split Croatia beach aerial drone 4k
Eastern Europe,Tallinn,Estonia,Gulf of Finland (Baltic),sea,8.4,,Ironman Tallinn Aug 22 2026 home base; flat sub-4% bike course; Pirita beach + rowing canal swim; cool water 17-20C wetsuit; best race-logistics city,Tallinn Estonia beach aerial drone 4k
Eastern Europe,Zadar,Croatia,Adriatic,sea,8.4,,Adriatic 24-27C; Kolovare + islands open-water; flat-to-rolling rides to Nin/Pag; Digital Nomad Valley community; good airport,Zadar Croatia beach aerial drone 4k
Eastern Europe,Siofok,Hungary,Lake Balaton,lake,8.3,,"Best swim-volume lake: Balaton 24-26C, annual 5.2km cross-lake swim, ~200km Balatoni Bringakor bike loop; south-shore party-town energy",Siofok Hungary beach aerial drone 4k
Eastern Europe,Ohrid,North Macedonia,Lake Ohrid,lake,8.3,,"Clear alpine lake 22-24C at 700m altitude, excellent open-water; quiet lakeside roads + Galicica climbs; own-clock (no Schengen burn); very cheap",Ohrid North Macedonia beach aerial drone 4k
Eastern Europe,Balatonfured,Hungary,Lake Balaton,lake,8.2,,"North-shore Balaton, calmer/classier than Siofok; lake 24-26C; Bringakor loop passes through; wine-town social scene; reformer spa run paths",Balatonfured Hungary beach aerial drone 4k
Eastern Europe,Rovinj,Croatia,Adriatic,sea,8.1,,Istria premium; Adriatic 24-26C clear water swim; rolling Istrian cycling (quiet inland lanes); strong Western-European long-stay crowd; Pula airport 40min,Rovinj Croatia beach aerial drone 4k
Eastern Europe,Sibenik,Croatia,Adriatic,sea,8.1,,Underrated Adriatic base; open-water off Solaris; Krka NP trail running; rolling coastal rides; cheaper than Split with same water 24-27C,Sibenik Croatia beach aerial drone 4k
Eastern Europe,Sopot,Poland,Baltic,sea,8.0,,Tri-City spa resort; open Baltic 18-21C wetsuit; long flat promenade run + pier; Gdansk airport 25min; rolling Kashubian rides inland,Sopot Poland beach aerial drone 4k
Eastern Europe,Kotor,Montenegro,Bay of Kotor (Adriatic),sea,7.9,,Fjord-like bay swim (flat calm 24-26C); legendary Lovcen/Kotor serpentine climb; own-clock EUR; tight roads + cruise crowds; foreign income untaxed on DNV,Kotor Montenegro beach aerial drone 4k
Eastern Europe,Gdansk,Poland,Baltic (Gulf of Gdansk),sea,7.9,,Real working city (exists off-season); Baltic 18-21C wetsuit at Brzezno/Jelitkowo; flat fast cycling; major airport + fiber internet; cheaper than Sopot,Gdansk Poland beach aerial drone 4k
Eastern Europe,Budva,Montenegro,Adriatic,sea,7.7,,Riviera nightlife hub; Adriatic 24-26C sandy+pebble; Lovcen climbing nearby; own-clock EUR; peak crowds heavy Jul-Aug; Tivat airport 20min,Budva Montenegro beach aerial drone 4k
Eastern Europe,Tivat,Montenegro,Bay of Kotor (Adriatic),sea,7.7,,Porto Montenegro marina scene; calm bay swim 24-26C; Lovcen + Vrmac climbs; own airport (Tivat); yachty/expat crowd; foreign income untaxed on DNV,Tivat Montenegro beach aerial drone 4k
Eastern Europe,Varna,Bulgaria,Black Sea,sea,7.6,,"Sea Garden + sandy entries, Black Sea 24-26C; flat promenade run; rolling rides to Golden Sands; euro since Jan 2026 (prices drifting up); airport",Varna Bulgaria beach aerial drone 4k
Eastern Europe,Nida,Lithuania,Curonian Lagoon + Baltic,sea,7.5,,Dune-village between lagoon (warm calm swim) and open Baltic; near-zero-traffic flat cycling on the spit; extreme seasonal price spike; remote,Nida Lithuania beach aerial drone 4k
Eastern Europe,Haapsalu,Estonia,Baltic (shallow bays),sea,7.5,,"Warmest-Baltic shallow bays 20-23C; sleepy spa town, resident life; flat empty roads for cycling; quiet promenade run; very low crowds",Haapsalu Estonia beach aerial drone 4k
