town,country,water,type,visa_clock,cad_visa_free_days,col_tier,airbnb_month_peak_eur,hotel_night_peak_eur,tourism_tier,peak_months,tri_note,flag,score
Batumi,Georgia,Black Sea,sea,own-365,365,$,600-900 (Aug 2026 peak est),55-90,3,Jul-Aug,"Long flat Black Sea promenade for run/swim; Batumi Boulevard 7km path; pebble-to-sand entries; road cycling into Adjara hills; sea 24-26C Aug",,8.9
Parnu,Estonia,Parnu Bay (Baltic),sea,schengen,90,$$,700-1000 (Aug 2026 peak est),80-140,2,Jun-Aug,"Warmest Baltic swim 20-23C in shallow bay; flat fast roads (Ironman Tallinn region 90min); sandy beach; spa-town run paths; wetsuit optional Aug",,8.6
Split,Croatia,Adriatic,sea,schengen,90,$$$,900-1300 (Aug 2026 peak est),150-320,4,Jul-Aug,"Adriatic 24-27C; open-water swim off Bacvice/Kasjuni; brutal climbing on Marjan and inland Mosor; strong tri/triathlon scene; DNV foreign income untaxed",,8.5
Tallinn,Estonia,Gulf of Finland (Baltic),sea,schengen,90,$$,850-1200 (Aug 2026 peak est),100-180,3,Jun-Aug,"Ironman Tallinn Aug 22 2026 home base; flat sub-4% bike course; Pirita beach + rowing canal swim; cool water 17-20C wetsuit; best race-logistics city",,8.4
Zadar,Croatia,Adriatic,sea,schengen,90,$$,700-1000 (Aug 2026 peak est),120-240,3,Jul-Aug,"Adriatic 24-27C; Kolovare + islands open-water; flat-to-rolling rides to Nin/Pag; Digital Nomad Valley community; good airport",,8.4
Siofok,Hungary,Lake Balaton,lake,schengen,90,$$,650-950 (Aug 2026 peak est),90-160,3,Jul-Aug,"Best swim-volume lake: Balaton 24-26C, annual 5.2km cross-lake swim, ~200km Balatoni Bringakor bike loop; south-shore party-town energy",,8.3
Ohrid,North Macedonia,Lake Ohrid,lake,own-90,90,$,400-650 (Aug 2026 peak est),45-85,3,Jul-Aug,"Clear alpine lake 22-24C at 700m altitude, excellent open-water; quiet lakeside roads + Galicica climbs; own-clock (no Schengen burn); very cheap",,8.3
Balatonfured,Hungary,Lake Balaton,lake,schengen,90,$$,650-950 (Aug 2026 peak est),95-170,2,Jul-Aug,"North-shore Balaton, calmer/classier than Siofok; lake 24-26C; Bringakor loop passes through; wine-town social scene; reformer spa run paths",,8.2
Rovinj,Croatia,Adriatic,sea,schengen,90,$$$,900-1300 (Aug 2026 peak est),160-340,4,Jul-Aug,"Istria premium; Adriatic 24-26C clear water swim; rolling Istrian cycling (quiet inland lanes); strong Western-European long-stay crowd; Pula airport 40min",,8.1
Sibenik,Croatia,Adriatic,sea,schengen,90,$$,650-950 (Aug 2026 peak est),110-220,2,Jul-Aug,"Underrated Adriatic base; open-water off Solaris; Krka NP trail running; rolling coastal rides; cheaper than Split with same water 24-27C",,8.1
Sopot,Poland,Baltic,sea,schengen,90,$$,750-1100 (Aug 2026 peak est),120-220,3,Jul-Aug,"Tri-City spa resort; open Baltic 18-21C wetsuit; long flat promenade run + pier; Gdansk airport 25min; rolling Kashubian rides inland",,8.0
Kotor,Montenegro,Bay of Kotor (Adriatic),sea,own-90,90,$$$,900-1300 (Aug 2026 peak est),140-300,4,Jun-Sep,"Fjord-like bay swim (flat calm 24-26C); legendary Lovcen/Kotor serpentine climb; own-clock EUR; tight roads + cruise crowds; foreign income untaxed on DNV",,7.9
Gdansk,Poland,Baltic (Gulf of Gdansk),sea,schengen,90,$$,600-850 (Aug 2026 peak est),90-160,3,Jun-Aug,"Real working city (exists off-season); Baltic 18-21C wetsuit at Brzezno/Jelitkowo; flat fast cycling; major airport + fiber internet; cheaper than Sopot",,7.9
Budva,Montenegro,Adriatic,sea,own-90,90,$$$,850-1250 (Aug 2026 peak est),130-280,4,Jun-Sep,"Riviera nightlife hub; Adriatic 24-26C sandy+pebble; Lovcen climbing nearby; own-clock EUR; peak crowds heavy Jul-Aug; Tivat airport 20min",,7.7
Tivat,Montenegro,Bay of Kotor (Adriatic),sea,own-90,90,$$$,900-1300 (Aug 2026 peak est),150-320,3,Jun-Sep,"Porto Montenegro marina scene; calm bay swim 24-26C; Lovcen + Vrmac climbs; own airport (Tivat); yachty/expat crowd; foreign income untaxed on DNV",,7.7
Varna,Bulgaria,Black Sea,sea,schengen,90,$$,550-800 (Aug 2026 peak est),75-140,3,Jun-Aug,"Sea Garden + sandy entries, Black Sea 24-26C; flat promenade run; rolling rides to Golden Sands; euro since Jan 2026 (prices drifting up); airport",,7.6
Nida,Lithuania,Curonian Lagoon + Baltic,sea,schengen,90,$$$,900-1400 (Aug 2026 peak est),140-260,3,Jul-Aug,"Dune-village between lagoon (warm calm swim) and open Baltic; near-zero-traffic flat cycling on the spit; extreme seasonal price spike; remote",,7.5
Haapsalu,Estonia,Baltic (shallow bays),sea,schengen,90,$,450-700 (Aug 2026 peak est),70-120,1,Jul-Aug,"Warmest-Baltic shallow bays 20-23C; sleepy spa town, resident life; flat empty roads for cycling; quiet promenade run; very low crowds",,7.5
Bled,Slovenia,Lake Bled,lake,schengen,90,$$$,900-1300 (Aug 2026 peak est),150-300,4,Jul-Aug,"Iconic lake 22-24C, clean open-water swim loop ~6km; serious Julian Alps climbing (Vrsic, Pokljuka); rowing culture; premium prices; Ljubljana airport 40min",,7.5
Klaipeda,Lithuania,Baltic + Curonian Lagoon,sea,schengen,90,$$,600-850 (Aug 2026 peak est),85-150,2,Jun-Aug,"Working port city (year-round life); Baltic 18-21C wetsuit at Smiltyne; flat cycling onto Curonian Spit; ferry to Nida; solid internet + airport",,7.4
Burgas,Bulgaria,Black Sea,sea,schengen,90,$$,500-750 (Aug 2026 peak est),70-130,3,Jun-Aug,"Sandy Black Sea 24-26C; big Sea Garden run park; flat rides to Sozopol/Pomorie; euro since Jan 2026; airport; less flashy than Varna, real city",,7.4
Saaremaa (Kuressaare),Estonia,Baltic,sea,schengen,90,$,450-700 (Aug 2026 peak est),75-130,2,Jul-Aug,"Flat-road cycling heaven, near-zero traffic; shallow-bay swim 19-22C; Kuressaare resort infra + clinic; ferry access; deeply quiet, spa culture",,7.3
Constanta,Romania,Black Sea,sea,schengen,90,$$,500-750 (Aug 2026 peak est),70-130,3,Jun-Aug,"Working port + Mamaia strip; sandy Black Sea 24-26C; flat promenade; Lake Siutghiol adjacent for calm swim; airport; Romania now full Schengen (burns days)",,7.2
Herceg Novi,Montenegro,Bay of Kotor (Adriatic),sea,own-90,90,$$,700-1000 (Aug 2026 peak est),100-200,2,Jun-Sep,"Bay mouth, cleaner open sea than inner bay 24-26C; steep stairs-town (great for run/hill reps); Orjen climbing; own-clock EUR; quieter than Budva",,7.2
Hvar,Croatia,Adriatic,sea,schengen,90,$$$$,1100-1600 (Aug 2026 peak est),200-420,4,Jul-Aug,"Crystal Adriatic 25-27C, superb open-water; steep island climbs; but small, very expensive summer, party-heavy, ferry-dependent logistics",,7.0
Mamaia,Romania,Black Sea + Lake Siutghiol,sea,schengen,90,$$,500-800 (Aug 2026 peak est),80-160,4,Jun-Aug,"Sandbar resort: sea one side (24-26C sandy), Lake Siutghiol other (flat-water swim/paddle); flat; package-tourism strip, thin off-season",,6.9
Palanga,Lithuania,Baltic,sea,schengen,90,$$$,900-1400 (Aug 2026 peak est),130-240,3,Jul-Aug,"Baltic beach resort 18-21C wetsuit; long flat promenade run; pine-forest flat cycling; but extreme seasonal price spike + dead off-season",,6.9
Jurmala,Latvia,Gulf of Riga (Baltic),sea,schengen,90,$$$,800-1200 (Aug 2026 peak est),120-230,3,Jun-Aug,"Long sandy Baltic 19-22C; flat 20km+ beach for run; Riga 30min for airport/internet; spa-resort crowd; Latvia DNV ~EUR 3400/mo unlock",,6.8
Piran,Slovenia,Adriatic,sea,schengen,90,$$$,900-1300 (Aug 2026 peak est),150-300,3,Jul-Aug,"Slovenia's tiny Adriatic gem 24-26C; rocky swim entries; coastal cycling limited (short coastline); very compact, day-tripper heavy; charming",,6.8
Bohinj,Slovenia,Lake Bohinj,lake,schengen,90,$$,650-950 (Aug 2026 peak est),110-210,2,Jul-Aug,"Wilder/quieter than Bled, lake 20-22C clean swim; serious Alpine climbing + trail running; fewer monthly rentals, more remote; Ljubljana airport 1hr",,6.7
Hiiumaa (Kardla),Estonia,Baltic,sea,schengen,90,$,400-650 (Aug 2026 peak est),65-120,1,Jul-Aug,"Flat-road cycling paradise, near-zero traffic; cool shallow swim 18-21C; very sleepy, thin rental stock + services; ferry-dependent; deep quiet",,6.5
Pomorie,Bulgaria,Black Sea + salt lake,sea,schengen,90,$,450-700 (Aug 2026 peak est),60-110,2,Jun-Aug,"Sandy Black Sea 24-26C + therapeutic salt lake; flat quiet promenade; small resort, cheaper than Varna; euro since Jan 2026; low-key family crowd",,6.5
Neringa/Juodkrante,Lithuania,Curonian Lagoon + Baltic,sea,schengen,90,$$,650-950 (Aug 2026 peak est),110-200,2,Jul-Aug,"Quieter spit village; warm lagoon swim + open Baltic; flat traffic-free cycling; UNESCO dunes; thin winter services, ferry access",,6.4
Sozopol,Bulgaria,Black Sea,sea,schengen,90,$,500-750 (Aug 2026 peak est),70-130,3,Jun-Aug,"Old-town peninsula, Black Sea 24-26C sandy coves; flat rides to Burgas; euro since Jan 2026; charming but small + tourist-dense old town in Aug",,6.4
Kolobrzeg,Poland,Baltic,sea,schengen,90,$$,550-800 (Aug 2026 peak est),80-150,3,Jun-Aug,"Baltic spa resort 18-21C wetsuit; long flat beach promenade run; flat coastal cycling; German-tourist heavy; real town off-season; regional airport",,6.3
Wladyslawowo/Hel,Poland,Baltic,sea,schengen,90,$$,550-800 (Aug 2026 peak est),75-140,3,Jul-Aug,"Hel Peninsula: Baltic one side + calm bay other (kite/swim); flat spit cycling near-traffic-free; windsurf scene; seasonal, thinner off-season",,6.2
Golden Sands,Bulgaria,Black Sea,sea,schengen,90,$$,550-850 (Aug 2026 peak est),75-160,4,Jun-Aug,"Sandy Black Sea 24-26C; flat; but pure package-resort strip, fails Anti-Cancun (no resident life off-season); euro since Jan 2026",,5.9
Saranda,Albania,Ionian (riviera),sea,own-90,90,$$,600-900 (Aug 2026 peak est),70-150,3,Jun-Sep,"Spectacular Ionian 24-27C clear water; Llogara/riviera climbing epic; own-clock (no Schengen burn); FLAG sketchy drivers + tight shoulders for cycling",cycling-road-safety,6.8
Vlore,Albania,Adriatic/Ionian riviera,sea,own-90,90,$$,600-900 (Aug 2026 peak est),70-150,3,Jun-Sep,"Riviera gateway, sea 24-27C; legendary Llogara Pass climb starts here; own-clock EUR-free days; FLAG dangerous coastal-road cycling, aggressive traffic",cycling-road-safety,6.6
Dhermi/Himare,Albania,Ionian (riviera),sea,own-90,90,$$$,800-1200 (Aug 2026 peak est),100-220,3,Jun-Sep,"Most beautiful Albanian riviera water 25-27C; epic climbing terrain; own-clock; FLAG very sketchy tight cliff roads for cycling + thin monthly rentals/services",cycling-road-safety-thin-infra,6.3
Durres,Albania,Adriatic,sea,own-90,90,$,450-700 (Aug 2026 peak est),55-110,3,Jun-Aug,"Long sandy Adriatic 24-26C; flat promenade (better for cycling than the riviera); own-clock; FLAG water-quality concerns near port + urban-traffic safety",water-quality-traffic,6.0
