town,region,water,type,visa_clock,cad_visa_free_days,col_tier,airbnb_month_shoulder_eur,hotel_night_shoulder_eur,tourism_tier,peak_months,warm_now_jul_nov,tri_note,flag,score
Joao Pessoa,Paraiba NE,Praia de Tambau + Praia do Cabo Branco,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,380-520 EST Sep2026 shoulder,22-32 EST,2,Dec-Feb + Carnival,yes,"Cheapest coastal capital. Warm swim year-round ~27C. Flat promenade great for run/bike. Calm reef water, ok open-water swim",Safer than Fortaleza/Recife/Natal per multiple sources,8.9
Pipa (Praia da Pipa),Rio Grande do Norte NE,Praia da Pipa + Praia do Amor,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,450-650 EST Sep2026 shoulder,25-40 EST,3,Dec-Feb + Carnival,yes,"Single person ~USD887/mo. Warm ~27C year-round. Surf town, coworking + nomad scene. Swells can limit flat swim; dolphins in bay",none material; petty theft normal,8.7
Fortaleza (Praia do Futuro),Ceara NE,Praia do Futuro + Praia de Iracema,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,400-560 EST Sep2026 shoulder,24-38 EST,3,Dec-Feb + Jul,yes,"Big-city infra, subsea cable = strong fiber, real airport. Warm ~28C. Long beachfront run/bike. Interview-grade connectivity",Urban crime layer; stay Meireles/Aldeota beach zones avoid periphery,8.4
Cumbuco,Ceara NE,Praia de Cumbuco + Lagoa do Cauipe,sea + lagoon,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,420-620 EST Sep2026 shoulder,28-45 EST,3,Jul-Jan wind season,yes,"30min from Fortaleza airport. Jul-Dec kitesurf wind (great cross-train, but chop hurts flat open-water swim). Warm lagoon swims",none material; small resort strip,8.1
Joao Pessoa (Cabo Branco cluster),Paraiba NE,Praia de Cabo Branco,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,360-500 EST Sep2026 shoulder,22-30 EST,2,Dec-Feb,yes,"Quieter southern beaches of JP. Retiree-calm, safe, cheap. Warm year-round. Good for disciplined training + interview quiet",low; calmest NE capital,8.0
Natal (Ponta Negra),Rio Grande do Norte NE,Praia de Ponta Negra,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,400-560 EST Sep2026 shoulder,25-40 EST,3,Dec-Feb + Jul,yes,"Airport hub for NE, warm ~28C. Ponta Negra bay swim ok. Cheaper than SE. Base here or gateway to Pipa",Urban crime layer; stay Ponta Negra tourist zone,7.8
Recife (Boa Viagem),Pernambuco NE,Praia de Boa Viagem,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,450-620 EST Sep2026 shoulder,28-45 EST,3,Dec-Feb + Carnival,yes,"Best NE fiber/airport for interviews, big-city services. Warm. BUT shark-attack advisory on Boa Viagem limits open-water sea swim",Shark risk Boa Viagem + urban robbery; high homicide capital,7.2
Porto de Galinhas,Pernambuco NE,Piscinas Naturais + Praia de Muro Alto,sea + reef pools,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,550-780 EST Sep2026 shoulder,35-60 EST,3,Dec-Feb + Jul,yes,"Warm reef pools (calm, tide-dependent). Resort infra. ~1h from Recife airport. Pricier tourist strip; flat swim in pools only",none material; resort town,7.1
Itacare,Bahia NE,Praia da Concha + Praia da Tiririca,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,400-580 EST Sep2026 shoulder,28-45 EST,3,Dec-Feb + Jul,yes,"Rent from R2000 (~EUR340). Felt safe walking evenings. Warm. Surf/nature; infra thinner, weaker fiber. Trail run heaven",low; calm surf town,7.0
Maceio (Pajucara),Alagoas NE,Praia de Pajucara + natural pools,sea + reef pools,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$,420-580 EST Sep2026 shoulder,26-42 EST,3,Dec-Feb + Jul,yes,"Warm calm reef-protected water, good flat swim. Cheap. BUT high homicide capital; stay Pajucara/Ponta Verde beach zone",Urban crime layer (homicide ~46/100k); tourist strip ok,6.9
