town,country,water,type,visa_clock,cad_visa_free_days,col_tier,airbnb_month_peak_eur,hotel_night_peak_eur,tourism_tier,peak_months,tri_note,flag,score
Tamarin,Mauritius,Tamarin Bay + lagoon,sea,visa-free 180d/yr + Premium Visa 1yr renewable (income EUR1500/mo),180,$$$,900-1800 (Jan peak est),60-110 (Jan peak est),2,Oct-Apr + surf/dolphin May-Nov,Best all-round base: open-water bay + dolphin swims + island best road cycling (Black River gorges) + trail; local tri at Le Morne,none,8.7
Agadir,Morocco,Agadir Bay (Atlantic),sea,visa-free 90d extendable,90,$$,450-850 (Jul-Aug peak est),40-75 (Jul-Aug peak est),4,Jul-Aug + winter-sun Nov-Mar,Only reliable calm open-water bay swim on MA coast (cool 16-22C) + flat Corniche run/ride + surf climbs 40min north,none,8.5
El Gouna,Egypt,Red Sea + 5sqkm lagoons,sea,eVisa/VOA 30d extendable (USD30),0,$$$,1100-1650 (winter peak est),90-270 (winter peak est),3,Oct-Apr + summer,Purpose-built tri destination (lagoon swim + flat paved bike/run); Egypt best internet + coworking,none,8.5
Dahab,Egypt,Red Sea Gulf of Aqaba,sea,eVisa/VOA 30d ext OR free Sinai-Only 15d (USD30),0,$,230-560 (year-round est),25-55 (year-round est),2,Oct-Apr + summer diver,Elite flat-water open swim (Blue Hole/Lighthouse) + desert cycling; cheapest warm-water base; weak internet is the catch,none,8.4
Diani Beach,Kenya,Indian Ocean reef lagoon,sea,eTA visa-free 90d (USD30),90,$$,550-1100 (Dec-Mar peak est),90-200 (Dec-Mar peak est),3,Dec-Mar + Jul-Aug,Strongest Kenya tri: flat lagoon swim (tidal) + kite capital + long flat beach road run; real coliving (Skippers),Avoid Likoni Ferry; fly Ukunda,8.3
Wilderness,South Africa,Touw River lagoon + Indian Ocean,sea+lake,visa-free 90d extendable,90,$$,650-1300 (Dec-Jan peak est),60-130 (Dec-Jan peak est),3,Dec-Jan,Best SA all-round: calm lagoon/river open-water swim + Garden Route road cycling + forest/beach trails; George airport 15min,Load-shedding ENDED 2026,8.2
Paje,Zanzibar,Indian Ocean reef lagoon,sea,eVisa/VOA 90d (USD50 + mandatory USD44 insurance),0,$$,1150-2100 (Jun-Oct peak est),46-90 (Jun-Oct peak est),3,Jun-Oct + Dec-Feb,Kite capital + strongest nomad/coliving scene; swim is tide-locked (train around high tide),none,8.1
Sedgefield,South Africa,Swartvlei lake + lagoon,lake+sea,visa-free 90d extendable,90,$$,600-1200 (Dec-Jan peak est),55-110 (Dec-Jan peak est),2,Dec-Jan,Freshwater lake open-water swim (Swartvlei) + Garden Route cycling + trails; slow-town calm; Africas first Cittaslow,Load-shedding ENDED 2026,8.1
Mindelo,Cape Verde,Porto Grande Bay + Baia das Gatas,sea,visa-exempt 30d (EASE tax ~EUR30) OR remote-work visa 6-12mo,30,$$,450-800 (Nov peak est),45-80 (Nov peak est),3,Feb Carnival + Aug,Best-balanced CV base: warm calm swims + real volcanic hills for bike/run + living cultural city,none,8.0
Dakar,Senegal,Atlantic (Almadies/Ngor/Yoff),sea,visa-free 90d extendable,90,$$,700-1200 (Nov-Feb peak est),55-110 (Nov-Feb peak est),4,Nov-Feb,Warm swimmable year-round (20-27C) + world-class surf + Corniche running artery; francophone asset; city cycling tough,Petty crime/bag-snatching; ride early,7.9
Flic-en-Flac,Mauritius,Indian Ocean lagoon,sea,visa-free 180d/yr + Premium Visa,180,$$$,800-1600 (Oct-Apr peak est),90-135 (Oct-Apr peak est),3,Oct-Apr,Best pure lagoon swim (long calm 8km) + quick access to Black River hills + beachfront run; very safe,Watch after-dark petty theft,7.9
Santa Maria,Cape Verde,Atlantic sheltered bay (Sal),sea,visa-exempt 30d (EASE tax ~EUR30) OR remote-work visa 6-12mo,30,$$$,600-1000 (Nov-Mar peak est),55-90 (Nov-Mar peak est),4,Nov-Mar,Warm calm bay swim (22-27C no wetsuit) + reliable kite wind + flat run; little elevation for cycling,none,7.8
